Id,CountryCode,CountryName,RegionName,RegionCode,UpperRegionName,UpperRegionCode,PlaceName,LocalityName,PostcodeName,NeighborhoodName,StreetName,Latitude,Longitude
144520,NL,Nederland,Utrecht,UT,NULL,NULL,Woerden,NULL,"3445 TR",Staatsliedenkwartier,"Joop Den Uylhof",52.092670,4.908722
114653,NL,Nederland,Groningen,GR,NULL,NULL,Zuidhorn,NULL,"9801 JJ",NULL,Fazantenlaan,53.247128,6.398357
17649,NL,Nederland,Drenthe,DR,NULL,NULL,Emmen,Emmen-Centrum,"7811 GM",Emmen-Centrum,Allee,52.788422,6.898172
15992,NL,Nederland,Drenthe,DR,NULL,NULL,Assen,Marsdijk,"9403 RZ","De Stoepen",Kristalstoep,53.012417,6.593417
109109,NL,Nederland,Gelderland,GE,NULL,NULL,Putten,NULL,"3881 ST","Krachtighuizen en omgeving",Schoonhoverweg,52.219830,5.610991
133609,NL,Nederland,Limburg,LI,NULL,NULL,Brunssum,Brunssum-Centrum,"6443 CX","Rumpener Beemden",Astoria-Rumpenerstraat,50.941963,5.970261
14742,NL,Nederland,Noord-Holland,NH,NULL,NULL,Spierdijk,NULL,"1641 LB","Spierdijkerweg en omgeving",Wezenweid,52.648605,4.938083
122473,NL,Nederland,Limburg,LI,NULL,NULL,Velden,NULL,"5941 NW","Hasselt en Het Vorst",Genooierweg,51.403648,6.160899
97199,NL,Nederland,Gelderland,GE,NULL,NULL,Groesbeek,Breedeweg,"6562 HA",Breedeweg,Cypresstraat,51.760956,5.942640
17224,NL,Nederland,Drenthe,DR,NULL,NULL,Grolloo,NULL,"9444 XE",NULL,"De Pol",52.937557,6.666512
61607,NL,Nederland,Overijssel,OV,NULL,NULL,Goor,"De Whee II","7471 NM","De Whee II-Noord",Korhoenstraat,52.241615,6.574795
17091,NL,Nederland,Drenthe,DR,NULL,NULL,Eelde,NULL,"9761 CB",NULL,"Stoffer Holtjerweg",53.133816,6.566850
126841,NL,Nederland,Limburg,LI,NULL,NULL,Heerlen,Welten,"6419 BS",Welten,Frankenlaan,50.876293,5.965878
22591,NL,Nederland,Friesland,FR,NULL,NULL,Leeuwarden,"Vossepark & Helicon","8914 AD",Helicon,Helmersstraat,53.204460,5.774044
88862,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Rotterdam,Hillegersberg,"3053 BJ",Schiebroek,Meidoornhof,51.959511,4.474307
60454,NL,Nederland,Overijssel,OV,NULL,NULL,Borne,NULL,"7622 KK","'t Wensink Noord",Kaufmannstraat,52.296120,6.756857
114354,NL,Nederland,Groningen,GR,NULL,NULL,Glimmen,Glimmen-Onnen-Noordlaren,"9756 AM",NULL,Brinkweg,53.136181,6.627864
97489,NL,Nederland,Gelderland,GE,NULL,NULL,Didam,NULL,"6942 KS",Didam-Zuid,Spechtstraat,51.932831,6.125839
26715,NL,Nederland,Friesland,FR,NULL,NULL,Makkum,NULL,"8754 LD",NULL,Menziessingel,53.062943,5.411367
98822,NL,Nederland,Gelderland,GE,NULL,NULL,Huissen,NULL,"6851 LW","Uitbreiding Stad Huissen","Achter De Gracht",51.935619,5.940814
127568,NL,Nederland,Limburg,LI,NULL,NULL,Herten,NULL,"6049 CK","Oolder Veste",Broekveeweg,51.177460,5.957833
96356,NL,Nederland,Gelderland,GE,NULL,NULL,Heerde,NULL,"8181 NP","Heerde-Noord en Hoorn",Berkenlaan,52.392418,6.006483
20108,NL,Nederland,Drenthe,DR,NULL,NULL,Nieuw-Amsterdam,NULL,"7833 DP",Nieuw-Amsterdam-Centrum,Stuurboord,52.717350,6.862435
102632,NL,Nederland,Gelderland,GE,NULL,NULL,Wageningen,"De Buurt","6707 DT","De Buurt-West",Kruisstraat,51.972660,5.662748
83374,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Maasland,NULL,"3155 TC",NULL,Diepenburchstraat,51.935993,4.270237
92401,NL,Nederland,Gelderland,GE,NULL,NULL,Lichtenvoorde,NULL,"7131 PR","Nieuwe Kamp",Pasteurstraat,51.998020,6.588413
15833,NL,Nederland,Drenthe,DR,NULL,NULL,Assen,Noorderpark,"9402 KK","Zwarte Water",Heemskerkstraat,53.004860,6.561474
140623,NL,Nederland,Utrecht,UT,NULL,NULL,"Nieuwer Ter Aa",NULL,"3626 AJ",NULL,Ruwielstraat,52.192032,4.981270
50881,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Leiden,Boerhaavedistrict,"2334 CS",Houtkwartier,Zweilandlaan,52.172924,4.486124
80557,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Rotterdam,Hillegersberg,"3053 LD",Schiebroek,Larixlaan,51.962418,4.470276
36703,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Vlijmen,NULL,"5252 AM",Vijfhoeven,Dreeslaan,51.696342,5.208870
61421,NL,Nederland,Overijssel,OV,NULL,NULL,Bornerbroek,NULL,"7627 LR",NULL,Molenveld,52.309628,6.652286
120089,NL,Nederland,Zeeland,ZE,NULL,NULL,Middelburg,Binnenstad,"4331 NB",Markt,"Het Groene Woud",51.495167,3.609613
66859,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Gouda,Binnenstad,"2801 PK","De Baan",Nood-Godsbrug,52.008766,4.712093
46370,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Rijen,NULL,"5121 TC",NULL,Fagelhof,51.594238,4.908115
11116,NL,Nederland,Noord-Holland,NH,NULL,NULL,Haarlem,Oude,"2011 ZD",Vijfhoek,"Korte Lakenstraat",52.377693,4.629050
82103,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Hoogvliet,Hoogvliet,"3192 KB","Hoogvliet Zuid",Kruisnetlaan,51.849628,4.370083
69734,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Ridderkerk,Rijsoord,"2988 BW",Rijsoord,"'t Zwaantje",51.855949,4.574302
54451,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Helmond,NULL,"5707 ZK",NULL,"E.H. Begemannstraat",51.474270,5.650329
46111,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Rijen,NULL,"5122 CN",NULL,"Anna Blamanstraat",51.587688,4.931634
1878,NL,Nederland,Noord-Holland,NH,NULL,NULL,Zaandam,"Pelders- en Hoornseveld","1503 ML",Hoornseveld,Bergblauwstraat,52.444221,4.836299
3662,NL,Nederland,Noord-Holland,NH,NULL,NULL,Alkmaar,NULL,"1827 LX",Daalmeer-Zuidoost,"Anna Blamanstraat",52.668251,4.769412
141028,NL,Nederland,Utrecht,UT,NULL,NULL,Houten,"Houten Zuid","3994 LX",Mossen,Schijfmos,52.016182,5.190765
112797,NL,Nederland,Groningen,GR,NULL,NULL,Stadskanaal,NULL,"9501 GP","Stadskanaal Noord Centrum","Geert Teisstraat",53.002419,6.930677
13879,NL,Nederland,Noord-Holland,NH,NULL,NULL,Twisk,NULL,"1676 EZ","Twisk Centrum","De Heem",52.737526,5.048869
5721,NL,Nederland,Noord-Holland,NH,NULL,NULL,"Den Helder","binnen de Linie","1782 LC",Tuindorp-Oost,Anemonenstraat,52.949711,4.761951
107406,NL,Nederland,Gelderland,GE,NULL,NULL,Arnhem,Schuytgraaf,"6846 KC",Schuytgraaf-Noord,"De Silo",51.959953,5.837299
56139,NL,Nederland,Overijssel,OV,NULL,NULL,Lemelerveld,NULL,"8152 CM","Lemelerveld kern west",Tjalkstraat,52.445072,6.329079
142580,NL,Nederland,Utrecht,UT,NULL,NULL,Woerden,NULL,"3443 WB",Schilderskwartier,"Ferdinand Bolstraat",52.090942,4.871146
130050,NL,Nederland,Limburg,LI,NULL,NULL,Beek,"Beek - Spaubeek","6191 VA",NULL,"Achter De Beek",50.938526,5.798581
80248,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Rotterdam,Noord,"3036 XA","Oude Noorden",Rietvinkstraat,51.935890,4.481210
98915,NL,Nederland,Gelderland,GE,NULL,NULL,Gendt,NULL,"6691 PN",NULL,"De Peperbus",51.881020,5.973504
73684,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Leiden,Roodenburgerdistrict,"2314 XX",Roomburg,Harteveltweg,52.144211,4.505858
110880,NL,Nederland,Gelderland,GE,NULL,NULL,Apeldoorn,Noordoost,"7323 XS","Zuidbroek - De Wellen","Van Haersolteweg",52.230522,6.004985
53058,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Riel,NULL,"5133 CR",Riel-Dorp,Kempenland,51.523853,5.018512
132902,NL,Nederland,Limburg,LI,NULL,NULL,Herten,NULL,"6049 LR","Oolder Veste",Koppelweide,51.178421,5.956101
131093,NL,Nederland,Limburg,LI,NULL,NULL,Milsbeek,NULL,"6596 BV",NULL,Heiveld,51.730885,5.948842
40872,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Eindhoven,Aanschot,"5628 BM","Woenselse Heide",Betuwelaan,51.480114,5.459936
99345,NL,Nederland,Gelderland,GE,NULL,NULL,Nijmegen,NULL,"6521 EZ",Hengstdal,"Koolemans Beynenstraat",51.835609,5.874134
128047,NL,Nederland,Limburg,LI,NULL,NULL,Nieuwstadt,NULL,"6118 EK",Cristina,Keerweg,51.037476,5.866228
70342,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Rotterdam,Feijenoord,"3071 BR",Feijenoord,Oranjeboomstraat,51.907890,4.507388
59696,NL,Nederland,Overijssel,OV,NULL,NULL,Hengelo,"Groot Driene","7552 GT","Groot Driene-Zuid","Karel Gerardstraat",52.257164,6.822890
93270,NL,Nederland,Gelderland,GE,NULL,NULL,'s-Heerenberg,NULL,"7041 ZS",NULL,"Van Rooijenstraat",51.875751,6.248893
105459,NL,Nederland,Gelderland,GE,NULL,NULL,Ermelo,NULL,"3853 NA",Ermelo-West,Veldwijkerweg,52.298580,5.603743
13585,NL,Nederland,Noord-Holland,NH,NULL,NULL,Assendelft,NULL,"1567 CT",Parkrijk,Tulpenburgh,52.488602,4.741447
126534,NL,Nederland,Limburg,LI,NULL,NULL,Landgraaf,Schaesberg,"6372 BE","Schaesberg Centrum",Briandstraat,50.889729,6.017134
35741,NL,Nederland,Noord-Brabant,NB,NULL,NULL,'s-Hertogenbosch,"'s-hertogenbosch Zuid","5216 AM",NULL,Maximiliaanstraat,51.680790,5.313070
126941,NL,Nederland,Limburg,LI,NULL,NULL,Simpelveld,NULL,"6369 CP",Hulsveld,"Sint Georgestraat",50.838539,5.978055
36357,NL,Nederland,Noord-Brabant,NB,NULL,NULL,'s-Hertogenbosch,Noord,"5231 DN","De Muziekinstrumentenbuurt",Fagot,51.714199,5.298670
28319,NL,Nederland,Flevoland,FL,NULL,NULL,Tollebeek,NULL,"8309 CJ",NULL,"De Horst",52.676804,5.671416
42911,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Valkenswaard,NULL,"5554 AA",Turfberg-Noord,Eindhovenseweg,51.364384,5.464494
75499,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Katwijk,NULL,"2221 SK",Hoornes-Oost,Boshuysenstraat,52.204094,4.423172
88284,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Honselersdijk,NULL,"2675 RK","Achter de Dijk",Schoener,52.011127,4.226197
76935,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,"Den Haag","Oude Centrum","2512 XD",Zuidwal,Buitenom,52.071968,4.303091
27886,NL,Nederland,Flevoland,FL,NULL,NULL,Biddinghuizen,NULL,"8256 HE",Bremerpark,Tentenveld,52.452496,5.698822
97247,NL,Nederland,Gelderland,GE,NULL,NULL,Tolkamer,NULL,"6916 BC",NULL,Tolstraat,51.852100,6.101552
35430,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Sint-Michielsgestel,NULL,"5271 NS",Theereheide,"Monseigneur Hermuslaan",51.635609,5.338033
81714,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Delft,Buitenhof,"2625 VP","Het Rode",Wagenaarstraat,51.993179,4.346645
94369,NL,Nederland,Gelderland,GE,NULL,NULL,Ruurlo,NULL,"7261 VK",Everwenninkhoek,"'t Heering",52.094360,6.446411
120359,NL,Nederland,Zeeland,ZE,NULL,NULL,Middelburg,Klarenbeek,"4333 CV","Klarenbeek II & III","Frans Duwaerstraat",51.513607,3.613868
62664,NL,Nederland,Overijssel,OV,NULL,NULL,Raalte,NULL,"8102 MA",Franciscushof,Schubertstraat,52.406086,6.270851
125372,NL,Nederland,Limburg,LI,NULL,NULL,Kerkrade,NULL,"6463 EE",Chevremont,Schoutstraat,50.876392,6.062011
84343,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Oostvoorne,NULL,"3233 BX",NULL,"Van Der Meerweg",51.910934,4.098156
14022,NL,Nederland,Noord-Holland,NH,NULL,NULL,"Sint Pancras",NULL,"1834 BG",NULL,Zuiderlaantje,52.655312,4.779627
38072,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Someren,NULL,"5711 KP",NULL,Ijssel,51.386520,5.721393
33461,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Uden,NULL,"5401 BZ",Moleneind-Groenewoud,"Peerke Verkuijlenstraat",51.656273,5.603073
139073,NL,Nederland,Utrecht,UT,NULL,NULL,Nieuwegein,Fokkesteeg,"3432 RC",Fokkesteeg,Snekerveste,52.024876,5.096941
120340,NL,Nederland,Zeeland,ZE,NULL,NULL,Middelburg,Veersepoort,"4332 CJ",Veersepoort,Tureluurstraat,51.508541,3.627009
88405,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Naaldwijk,NULL,"2671 XL","Naaldwijk Centrumgebied",Offenbach,51.994541,4.213215
78478,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,"Den Haag",NULL,"2554 BT",Ockenburgh,Buitenklingen,52.064991,4.222594
79339,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Rotterdam,Feijenoord,"3073 WH",Bloemhof,Lavendelstraat,51.894756,4.496196
16207,NL,Nederland,Drenthe,DR,NULL,NULL,Emmer-Compascuum,NULL,"7881 RD",Emmer-Compascuum-Centrum,Populierenlaan,52.807297,7.035696
91089,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Numansdorp,NULL,"3281 NH","Numansdorp Bedrijventerrein Middelsluis",Energieweg,51.746601,4.443491
90525,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Ridderkerk,"Het Zand","2984 GA","Het Zand",Boerhaavestraat,51.868706,4.613364
59314,NL,Nederland,Overijssel,OV,NULL,NULL,Ootmarsum,NULL,"7631 AP",Moerbekkenkamp,Kampstraat,52.410862,6.900015
